tld	count
com	702681019
net	345922534
jp	67168816
de	67007985
cn	35052371
org	31639834
br	30799243
fr	29527647
nl	25505512
ru	24002380
pl	21710862
uk	21183335
it	21035651
au	20504204
ca	12760261
se	12238824
ch	10994051
edu	10149532
es	9910145
be	9021306
hu	8940760
eu	8940261
za	8713158
co	8547522
info	8094477
cz	7323161
io	7014875
in	6923489
fi	6553242
blog	6389739
at	6007257
xyz	5968582
dk	5699023
ar	5677732
no	5677151
pt	5414208
tw	5385678
us	5038863
gr	4898295
nz	4644014
mx	4626806
ga	4531757
me	4203791
biz	3912285
ml	3756100
cl	3591799
cf	3387869
online	3374600
ro	3340131
gq	3117525
ua	3097058
site	3047422
th	2992113
cc	2822717
sk	2719592
hr	2679992
id	2544668
tk	2493076
il	2244413
club	2172878
mil	2064825
ir	2064592
top	2023939
lt	2000355
ie	1927238
app	1759278
rs	1722155
kr	1688214
bg	1589083
uy	1582474
gov	1581964
tr	1532601
ee	1493562
shop	1446976
icu	1445002
my	1427155
vn	1344613
cloud	1318029
by	1313199
sg	1198056
hk	1143208
tv	1134713
tech	1050367
arpa	994946
si	988358
store	980997
vip	960737
pro	956487
tips	905531
live	841938
work	834623
dev	796740
ae	787859
lv	777303
space	768042
to	742476
sh	724790
is	721952
pk	716480
run	696960
xn--p1ai	658484
ma	649314
website	646300
nu	617288
ng	584372
pe	572406
ke	549284
su	509638
ve	498987
page	487137
mobi	484489
cy	470669
ph	461741
life	459676
ec	439420
kz	439396
link	404332
pw	379921
fun	365937
ws	360826
asia	358958
network	319176
lu	319132
buzz	305349
ge	303856
ba	300511
cat	286677
host	281714
world	265626
ai	256299
cm	244762
design	242457
one	234889
tt	228256
cr	227298
uz	224840
art	222682
ovh	219634
np	215095
sa	212646
name	211749
lk	211546
email	205179
do	203138
tokyo	202589
bar	194382
agency	191617
today	189983
ly	188245
bd	184902
solutions	180131
studio	173193
li	172873
rocks	171067
monster	160759
casa	158816
mk	157075
group	156021
py	152073
gt	151660
cyou	151457
media	150741
bz	146968
africa	146959
bo	144143
ni	141207
ltd	140374
ninja	138515
am	134299
xn--fiqs8s	134051
la	133084
tl	131549
domains	131234
news	131005
zone	130357
win	129632
services	127095
company	123039
guru	119775
md	118838
click	118277
best	116117
tz	112566
al	110244
zw	110176
az	109100
team	106391
center	105660
mp	104819
im	104534
tel	103982
xxx	100537
ms	98554
cw	98256
systems	96214
tn	95853
global	95454
nyc	93152
gg	91459
academy	87800
photography	87595
st	85993
digital	82987
ug	82867
farm	79879
fm	79609
ao	78527
trade	77906
mg	77249
jobs	76387
vc	75988
wtf	75372
re	75358
ci	74012
mn	73695
fit	72082
business	71275
cam	71032
berlin	70893
expert	70298
plus	70221
nc	69157
qa	68805
city	68457
london	67446
na	66462
pf	66338
cool	65503
cx	65384
wang	63075
realtor	62204
finance	60725
education	60695
technology	60056
games	58940
church	57841
pub	57788
support	57578
kred	57527
sv	57119
events	57040
marketing	56353
ink	55266
care	54728
consulting	53880
works	53828
mz	53787
red	53519
hosting	52885
eg	52420
love	52015
travel	51399
mt	50127
kg	50097
press	49936
help	49524
ps	49406
gd	48745
wf	48031
so	46800
tools	46738
social	46287
mc	46222
mu	45214
nf	44692
photo	44475
house	44316
school	44106
tc	43596
uno	43467
xn--ses554g	43321
earth	43154
family	42735
vu	42391
sn	42196
international	41711
stream	41127
video	41126
ag	41100
bid	40811
fund	40556
rest	40404
party	40342
photos	40331
chat	39830
bet	39805
aw	39652
market	39648
fyi	39597
software	39293
build	39012
amsterdam	38694
bio	38660
health	38626
training	38332
gmbh	38271
coffee	37759
coop	37231
pm	37117
wiki	36913
codes	36572
xn--p1acf	35850
bayern	35816
gl	35788
aero	35726
coach	35721
cafe	35650
land	35628
ad	35057
band	35024
realty	34380
capital	34323
ceo	34159
eus	34045
community	33878
cash	33730
gallery	33582
koeln	33445
blue	32902
lol	32877
gold	32758
review	32445
dz	32066
ye	31974
as	31894
ac	30788
bw	30619
swiss	30542
paris	30487
show	30451
guide	30220
law	30059
men	29744
gp	29664
watch	29562
money	29429
ls	29043
exchange	28660
moe	28635
directory	28616
immo	28468
bike	28429
energy	28222
fj	27795
hamburg	27591
wales	27346
ky	27345
wien	27220
foundation	26966
pa	26645
dog	26522
moscow	26513
wine	26034
scot	25767
ventures	25625
science	25380
llc	25303
fitness	25117
